ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2013-01-22,5205.434644299575,3840.4776753466135,6002.999825095561,5205.434644299575,5205.434644299575,-364.14654314067735,-364.14654314067735,-364.14654314067735,-102.6691757414664,-102.6691757414664,-102.6691757414664,-261.477367399211,-261.477367399211,-261.477367399211,0.0,0.0,0.0,4841.288101158897
2013-01-23,5204.0260401865535,3656.1204454124054,5868.334001095141,5204.0260401865535,5204.0260401865535,-440.89749434550515,-440.89749434550515,-440.89749434550515,-219.6473384681537,-219.6473384681537,-219.6473384681537,-221.2501558773515,-221.2501558773515,-221.2501558773515,0.0,0.0,0.0,4763.128545841048
2013-01-24,5202.617436073531,3638.7651322687707,5834.520429015903,5202.617436073531,5202.617436073531,-489.10444568620625,-489.10444568620625,-489.10444568620625,-309.0893061480129,-309.0893061480129,-309.0893061480129,-180.01513953819344,-180.01513953819344,-180.01513953819344,0.0,0.0,0.0,4713.512990387325
2013-01-25,5201.20883196051,3991.2022972428317,6085.579380425404,5201.20883196051,5201.20883196051,-193.40584916796345,-193.40584916796345,-193.40584916796345,-54.52855513685331,-54.52855513685331,-54.52855513685331,-138.87729403111015,-138.87729403111015,-138.87729403111015,0.0,0.0,0.0,5007.802982792547
2013-01-26,5199.800227847489,4178.188649631817,6273.194436037692,5199.800227847489,5199.800227847489,51.840632017516846,51.840632017516846,51.840632017516846,150.70369944153566,150.70369944153566,150.70369944153566,-98.86306742401882,-98.86306742401882,-98.86306742401882,0.0,0.0,0.0,5251.640859865006
2013-01-28,5196.983019621446,4555.164678043154,6615.098586505994,5196.983019621446,5196.983019621446,362.11505572319516,362.11505572319516,362.11505572319516,387.929270571928,387.929270571928,387.929270571928,-25.814214848732842,-25.814214848732842,-25.814214848732842,0.0,0.0,0.0,5559.098075344641
2013-01-29,5195.574415508425,3927.3502412611097,6114.458916035675,5195.574415508425,5195.574415508425,-96.96310941098163,-96.96310941098163,-96.96310941098163,-102.66917574070486,-102.66917574070486,-102.66917574070486,5.70606632972322,5.70606632972322,5.70606632972322,0.0,0.0,0.0,5098.611306097443
2013-01-30,5194.165811395404,3971.706906477879,6164.329422714694,5194.165811395404,5194.165811395404,-186.55327687591864,-186.55327687591864,-186.55327687591864,-219.64733846839266,-219.64733846839266,-219.64733846839266,33.09406159247404,33.09406159247404,33.09406159247404,0.0,0.0,0.0,5007.612534519485
2013-01-31,5192.757207282382,3840.8859063467125,6035.680533885184,5192.757207282382,5192.757207282382,-253.16755002877267,-253.16755002877267,-253.16755002877267,-309.0893061477005,-309.0893061477005,-309.0893061477005,55.92175611892781,55.92175611892781,55.92175611892781,0.0,0.0,0.0,4939.589657253609
2013-02-01,5191.348602966358,4111.140121764586,6255.161856246816,5191.348602966358,5191.348602966358,19.37043061475726,19.37043061475726,19.37043061475726,-54.528555136898454,-54.528555136898454,-54.528555136898454,73.89898575165572,73.89898575165572,73.89898575165572,0.0,0.0,0.0,5210.719033581116
2013-02-02,5189.939998650335,4398.13736432788,6546.34453811927,5189.939998650335,5189.939998650335,237.57545235146094,237.57545235146094,237.57545235146094,150.7036994410776,150.7036994410776,150.7036994410776,86.87175291038334,86.87175291038334,86.87175291038334,0.0,0.0,0.0,5427.515451001796
2013-02-04,5187.122790018288,4653.5295839030705,6810.270391139009,5187.122790018288,5187.122790018288,485.7668091936056,485.7668091936056,485.7668091936056,387.9292705718776,387.9292705718776,387.9292705718776,97.83753862172802,97.83753862172802,97.83753862172802,0.0,0.0,0.0,5672.889599211893
2013-02-05,5185.714185702264,4124.3049497210895,6297.993382303655,5185.714185702264,5185.714185702264,-6.522024643407303,-6.522024643407303,-6.522024643407303,-102.66917574115519,-102.66917574115519,-102.66917574115519,96.14715109774787,96.14715109774787,96.14715109774787,0.0,0.0,0.0,5179.192161058857
2013-02-06,5184.305581386241,3990.306458788446,6141.877768931916,5184.305581386241,5184.305581386241,-129.5839298047658,-129.5839298047658,-129.5839298047658,-219.64733846863163,-219.64733846863163,-219.64733846863163,90.06340866386583,90.06340866386583,90.06340866386583,0.0,0.0,0.0,5054.721651581475
2013-02-07,5182.896977070216,3937.1530542823693,6017.3357411284405,5182.896977070216,5182.896977070216,-229.09786997163508,-229.09786997163508,-229.09786997163508,-309.089306147388,-309.089306147388,-309.089306147388,79.99143617575298,79.99143617575298,79.99143617575298,0.0,0.0,0.0,4953.799107098581
2013-02-08,5181.488372754193,4124.384985963353,6263.246703753986,5181.488372754193,5181.488372754193,11.880801945719709,11.880801945719709,11.880801945719709,-54.52855513651606,-54.52855513651606,-54.52855513651606,66.40935708223577,66.40935708223577,66.40935708223577,0.0,0.0,0.0,5193.369174699913
2013-02-09,5180.079768438169,4302.535538098132,6423.0630033611815,5180.079768438169,5180.079768438169,200.5561229007421,200.5561229007421,200.5561229007421,150.70369944179038,150.70369944179038,150.70369944179038,49.85242345895173,49.85242345895173,49.85242345895173,0.0,0.0,0.0,5380.63589133891
2013-02-11,5177.262559806122,4539.677221238496,6618.453989896658,5177.262559806122,5177.262559806122,398.0724224968837,398.0724224968837,398.0724224968837,387.92927057182726,387.92927057182726,387.92927057182726,10.143151925056445,10.143151925056445,10.143151925056445,0.0,0.0,0.0,5575.334982303006
2013-02-12,5175.853955490098,3894.106597062797,6164.071608800825,5175.853955490098,5175.853955490098,-114.46790885038774,-114.46790885038774,-114.46790885038774,-102.66917574138336,-102.66917574138336,-102.66917574138336,-11.798733109004418,-11.798733109004418,-11.798733109004418,0.0,0.0,0.0,5061.38604663971
2013-02-13,5174.445351174075,3844.8257947262478,6046.7715773330665,5174.445351174075,5174.445351174075,-253.97263881499944,-253.97263881499944,-253.97263881499944,-219.6473384683308,-219.6473384683308,-219.6473384683308,-34.32530034666869,-34.32530034666869,-34.32530034666869,0.0,0.0,0.0,4920.472712359076
2013-02-14,5173.03674685805,3712.1882786581555,5838.475823373108,5173.03674685805,5173.03674685805,-365.94216024834924,-365.94216024834924,-365.94216024834924,-309.08930614821605,-309.08930614821605,-309.08930614821605,-56.852854100133214,-56.852854100133214,-56.852854100133214,0.0,0.0,0.0,4807.094586609701
2013-02-15,5171.628142542027,3994.135852530265,6078.892273010206,5171.628142542027,5171.628142542027,-133.35856019025186,-133.35856019025186,-133.35856019025186,-54.52855513656118,-54.52855513656118,-54.52855513656118,-78.83000505369068,-78.83000505369068,-78.83000505369068,0.0,0.0,0.0,5038.269582351775
2013-02-16,5170.219538226003,4147.657301826359,6271.970070872364,5170.219538226003,5170.219538226003,50.95526013049997,50.95526013049997,50.95526013049997,150.7036994413323,150.7036994413323,150.7036994413323,-99.74843931083235,-99.74843931083235,-99.74843931083235,0.0,0.0,0.0,5221.174798356504
2013-02-18,5167.402329593956,4393.002812657635,6460.298400248206,5167.402329593956,5167.402329593956,251.28611592485018,251.28611592485018,251.28611592485018,387.92927057177695,387.92927057177695,387.92927057177695,-136.64315464692675,-136.64315464692675,-136.64315464692675,0.0,0.0,0.0,5418.6884455188065
2013-02-19,5165.993725277933,3834.00835253483,6003.524014856726,5165.993725277933,5165.993725277933,-254.5584373399986,-254.5584373399986,-254.5584373399986,-102.66917574106616,-102.66917574106616,-102.66917574106616,-151.88926159893248,-151.88926159893248,-151.88926159893248,0.0,0.0,0.0,4911.435287937934
2013-02-20,5164.585120961908,3683.3983992993285,5908.83735312962,5164.585120961908,5164.585120961908,-384.2718824455563,-384.2718824455563,-384.2718824455563,-219.64733846878994,-219.64733846878994,-219.64733846878994,-164.62454397676638,-164.62454397676638,-164.62454397676638,0.0,0.0,0.0,4780.313238516352
2013-02-21,5163.1765166458845,3555.9469435931674,5726.421094681128,5163.1765166458845,5163.1765166458845,-483.7412419232801,-483.7412419232801,-483.7412419232801,-309.0893061471531,-309.0893061471531,-309.0893061471531,-174.65193577612706,-174.65193577612706,-174.65193577612706,0.0,0.0,0.0,4679.435274722604
2013-02-22,5161.76791232986,3891.757082076856,5965.602040611092,5161.76791232986,5161.76791232986,-236.37100662462777,-236.37100662462777,-236.37100662462777,-54.52855513660633,-54.52855513660633,-54.52855513660633,-181.84245148802145,-181.84245148802145,-181.84245148802145,0.0,0.0,0.0,4925.396905705233
2013-02-23,5160.359308013837,4009.5481468550292,6182.073700519099,5160.359308013837,5160.359308013837,-35.42935470887604,-35.42935470887604,-35.42935470887604,150.70369944158796,150.70369944158796,150.70369944158796,-186.13305415046403,-186.13305415046403,-186.13305415046403,0.0,0.0,0.0,5124.929953304961
2013-02-25,5157.54209938179,4325.661056070987,6443.113371970754,5157.54209938179,5157.54209938179,201.85973039651543,201.85973039651543,201.85973039651543,387.92927057181316,387.92927057181316,387.92927057181316,-186.06954017529773,-186.06954017529773,-186.06954017529773,0.0,0.0,0.0,5359.401829778305
2013-02-26,5156.1334950657665,3769.1198878880027,5879.94853523792,5156.1334950657665,5156.1334950657665,-284.55040308570244,-284.55040308570244,-284.55040308570244,-102.6691757412943,-102.6691757412943,-102.6691757412943,-181.88122734440816,-181.88122734440816,-181.88122734440816,0.0,0.0,0.0,4871.583091980064
2013-02-27,5154.7248907497415,3627.4765031751945,5802.397940723218,5154.7248907497415,5154.7248907497415,-394.75972756416957,-394.75972756416957,-394.75972756416957,-219.64733846816935,-219.64733846816935,-219.64733846816935,-175.11238909600016,-175.11238909600016,-175.11238909600016,0.0,0.0,0.0,4759.965163185572
2013-02-28,5153.316286433718,3575.858063523845,5726.309115083088,5153.316286433718,5153.316286433718,-475.04500895570703,-475.04500895570703,-475.04500895570703,-309.0893061475912,-309.0893061475912,-309.0893061475912,-165.9557028081159,-165.9557028081159,-165.9557028081159,0.0,0.0,0.0,4678.271277478011
2013-03-01,5151.907682117695,3881.3877112690757,6075.575402701231,5151.907682117695,5151.907682117695,-209.1636592787231,-209.1636592787231,-209.1636592787231,-54.52855513665143,-54.52855513665143,-54.52855513665143,-154.63510414207167,-154.63510414207167,-154.63510414207167,0.0,0.0,0.0,4942.744022838972
2013-03-02,5150.499077738409,4108.518964809373,6225.370728991251,5150.499077738409,5150.499077738409,9.305103276590694,9.305103276590694,9.305103276590694,150.70369944087327,150.70369944087327,150.70369944087327,-141.3985961642826,-141.3985961642826,-141.3985961642826,0.0,0.0,0.0,5159.804181015
2013-03-04,5147.681868979836,4372.924951866641,6400.131375534834,5147.681868979836,5147.681868979836,277.68059409200515,277.68059409200515,277.68059409200515,387.92927057190235,387.92927057190235,387.92927057190235,-110.24867647989721,-110.24867647989721,-110.24867647989721,0.0,0.0,0.0,5425.3624630718405
2013-03-05,5146.273264600549,3960.5965970990974,6064.149890098578,5146.273264600549,5146.273264600549,-195.56001222285664,-195.56001222285664,-195.56001222285664,-102.66917574152242,-102.66917574152242,-102.66917574152242,-92.89083648133422,-92.89083648133422,-92.89083648133422,0.0,0.0,0.0,4950.713252377692
2013-03-06,5144.864660221263,3831.015276375133,5895.281911196239,5144.864660221263,5144.864660221263,-294.36412572284075,-294.36412572284075,-294.36412572284075,-219.6473384689482,-219.6473384689482,-219.6473384689482,-74.71678725389255,-74.71678725389255,-74.71678725389255,0.0,0.0,0.0,4850.500534498422
2013-03-07,5143.456055841976,3714.418940673671,5809.9960656878375,5143.456055841976,5143.456055841976,-365.0892789865435,-365.0892789865435,-365.0892789865435,-309.08930614841915,-309.08930614841915,-309.08930614841915,-55.99997283812439,-55.99997283812439,-55.99997283812439,0.0,0.0,0.0,4778.366776855432
2013-03-08,5142.047451462689,3989.042454125829,6131.084547077959,5142.047451462689,5142.047451462689,-91.53294894058196,-91.53294894058196,-91.53294894058196,-54.528555136269084,-54.528555136269084,-54.528555136269084,-37.004393804312876,-37.004393804312876,-37.004393804312876,0.0,0.0,0.0,5050.514502522107
2013-03-09,5140.638847083403,4145.222904130803,6356.679081883748,5140.638847083403,5140.638847083403,132.7221246326874,132.7221246326874,132.7221246326874,150.70369944158602,150.70369944158602,150.70369944158602,-17.9815748088986,-17.9815748088986,-17.9815748088986,0.0,0.0,0.0,5273.36097171609
2013-03-11,5137.821638324831,4504.330605936911,6617.652721476347,5137.821638324831,5137.821638324831,407.1440340301212,407.1440340301212,407.1440340301212,387.9292705717125,387.9292705717125,387.9292705717125,19.214763458408754,19.214763458408754,19.214763458408754,0.0,0.0,0.0,5544.965672354952
2013-03-12,5136.413033945544,3962.39305294793,6166.185432964676,5136.413033945544,5136.413033945544,-65.70503718868002,-65.70503718868002,-65.70503718868002,-102.66917574175055,-102.66917574175055,-102.66917574175055,36.964138553070526,36.964138553070526,36.964138553070526,0.0,0.0,0.0,5070.707996756864
2013-03-13,5135.004429566257,3907.4899283084633,6113.35717462159,5135.004429566257,5135.004429566257,-165.75378218356238,-165.75378218356238,-165.75378218356238,-219.6473384683276,-219.6473384683276,-219.6473384683276,53.89355628476521,53.89355628476521,53.89355628476521,0.0,0.0,0.0,4969.250647382695
2013-03-14,5133.595825186971,3890.5184045411634,6043.615470288839,5133.595825186971,5133.595825186971,-239.2554266451929,-239.2554266451929,-239.2554266451929,-309.08930614810674,-309.08930614810674,-309.08930614810674,69.83387950291382,69.83387950291382,69.83387950291382,0.0,0.0,0.0,4894.340398541778
2013-03-15,5132.187220807685,4079.8218639361357,6124.19810223946,5132.187220807685,5132.187220807685,30.103990748917123,30.103990748917123,30.103990748917123,-54.528555137126816,-54.528555137126816,-54.528555137126816,84.63254588604394,84.63254588604394,84.63254588604394,0.0,0.0,0.0,5162.291211556602
2013-03-16,5130.778616428398,4331.054022617013,6451.549671276215,5130.778616428398,5130.778616428398,248.85652561297334,248.85652561297334,248.85652561297334,150.7036994418417,150.7036994418417,150.7036994418417,98.15282617113162,98.15282617113162,98.15282617113162,0.0,0.0,0.0,5379.635142041371
2013-03-18,5127.961407669824,4508.288338554163,6686.077018707333,5127.961407669824,5127.961407669824,508.8148206777341,508.8148206777341,508.8148206777341,387.9292705717487,387.9292705717487,387.9292705717487,120.88555010598537,120.88555010598537,120.88555010598537,0.0,0.0,0.0,5636.776228347559
2013-03-19,5126.552803290539,4125.737706450611,6212.886011685419,5126.552803290539,5126.552803290539,27.22735088675465,27.22735088675465,27.22735088675465,-102.66917574143338,-102.66917574143338,-102.66917574143338,129.89652662818804,129.89652662818804,129.89652662818804,0.0,0.0,0.0,5153.780154177293
2013-03-20,5125.144198911252,3945.4393519638784,6123.49045969231,5125.144198911252,5125.144198911252,-82.42225015274158,-82.42225015274158,-82.42225015274158,-219.6473384685667,-219.6473384685667,-219.6473384685667,137.22508831582508,137.22508831582508,137.22508831582508,0.0,0.0,0.0,5042.72194875851
2013-03-21,5123.735594531966,3779.7140906085106,5962.782180077128,5123.735594531966,5123.735594531966,-166.2859400248765,-166.2859400248765,-166.2859400248765,-309.0893061485449,-309.0893061485449,-309.0893061485449,142.80336612366835,142.80336612366835,142.80336612366835,0.0,0.0,0.0,4957.44965450709
2013-03-22,5122.326990152679,4047.5357099303715,6324.406136690096,5122.326990152679,5122.326990152679,92.04808818063823,92.04808818063823,92.04808818063823,-54.52855513635935,-54.52855513635935,-54.52855513635935,146.57664331699758,146.57664331699758,146.57664331699758,0.0,0.0,0.0,5214.375078333317
2013-03-23,5120.918385773392,4287.1112920100195,6476.914231691063,5120.918385773392,5120.918385773392,299.20758421879276,299.20758421879276,299.20758421879276,150.7036994418407,150.7036994418407,150.7036994418407,148.50388477695205,148.50388477695205,148.50388477695205,0.0,0.0,0.0,5420.125969992185
2013-03-25,5118.10117701482,4597.754486105964,6701.7720405301925,5118.10117701482,5118.10117701482,534.6593043553829,534.6593043553829,534.6593043553829,387.92927057169834,387.92927057169834,387.92927057169834,146.73003378368452,146.73003378368452,146.73003378368452,0.0,0.0,0.0,5652.760481370203
2013-03-26,5116.692572635534,4083.9619784063,6221.920563637295,5116.692572635534,5116.692572635534,40.35536514413367,40.35536514413367,40.35536514413367,-102.66917574067183,-102.66917574067183,-102.66917574067183,143.0245408848055,143.0245408848055,143.0245408848055,0.0,0.0,0.0,5157.047937779667
2013-03-27,5115.283968256247,3957.4063014630638,6146.070077976245,5115.283968256247,5115.283968256247,-82.18013076244114,-82.18013076244114,-82.18013076244114,-219.64733846880563,-219.64733846880563,-219.64733846880563,137.4672077063645,137.4672077063645,137.4672077063645,0.0,0.0,0.0,5033.103837493806
2013-03-28,5113.87536387696,3960.7941200729565,6062.256845698821,5113.87536387696,5113.87536387696,-178.98582461439375,-178.98582461439375,-178.98582461439375,-309.0893061474819,-309.0893061474819,-309.0893061474819,130.10348153308814,130.10348153308814,130.10348153308814,0.0,0.0,0.0,4934.889539262566
2013-03-30,5111.058155118388,4274.08948441411,6439.0366075054835,5111.058155118388,5111.058155118388,260.95364941850994,260.95364941850994,260.95364941850994,150.7036994413827,150.7036994413827,150.7036994413827,110.24994997712729,110.24994997712729,110.24994997712729,0.0,0.0,0.0,5372.011804536898
2013-04-02,5106.832341980527,4038.8012063132237,6153.46428401475,5106.832341980527,5106.832341980527,-33.27931295328056,-33.27931295328056,-33.27931295328056,-102.66917574112216,-102.66917574112216,-102.66917574112216,69.3898627878416,69.3898627878416,69.3898627878416,0.0,0.0,0.0,5073.553029027247
2013-04-03,5105.423737269347,3812.658457208024,6008.9102324168325,5105.423737269347,5105.423737269347,-166.19253302611574,-166.19253302611574,-166.19253302611574,-219.6473384687249,-219.6473384687249,-219.6473384687249,53.454805442609164,53.454805442609164,53.454805442609164,0.0,0.0,0.0,4939.231204243231
2013-04-04,5104.015132558167,3815.5652058129367,5878.3526845798115,5104.015132558167,5104.015132558167,-272.3878052785062,-272.3878052785062,-272.3878052785062,-309.08930614830984,-309.08930614830984,-309.08930614830984,36.70150086980363,36.70150086980363,36.70150086980363,0.0,0.0,0.0,4831.627327279661
2013-04-05,5102.606527846987,3939.420025626998,6140.269263183432,5102.606527846987,5102.606527846987,-35.16051172787138,-35.16051172787138,-35.16051172787138,-54.52855513602209,-54.52855513602209,-54.52855513602209,19.36804340815071,19.36804340815071,19.36804340815071,0.0,0.0,0.0,5067.4460161191155
2013-04-06,5101.197923135806,4137.934585218763,6243.630966327509,5101.197923135806,5101.197923135806,152.41597196736834,152.41597196736834,152.41597196736834,150.70369944163835,150.70369944163835,150.70369944163835,1.7122725257299385,1.7122725257299385,1.7122725257299385,0.0,0.0,0.0,5253.613895103174
2013-04-08,5098.380713713446,4396.956410755664,6528.681845505318,5098.380713713446,5098.380713713446,354.4720289920963,354.4720289920963,354.4720289920963,387.9292705715977,387.9292705715977,387.9292705715977,-33.45724157950144,-33.45724157950144,-33.45724157950144,0.0,0.0,0.0,5452.852742705542
2013-04-09,5096.972109002266,3829.6867152700975,5967.625963458095,5096.972109002266,5096.972109002266,-153.0600468174529,-153.0600468174529,-153.0600468174529,-102.66917574036061,-102.66917574036061,-102.66917574036061,-50.390871077092264,-50.390871077092264,-50.390871077092264,0.0,0.0,0.0,4943.912062184813
2013-04-10,5095.563504291086,3707.629057386856,5902.853633435437,5095.563504291086,5095.563504291086,-286.14427143187265,-286.14427143187265,-286.14427143187265,-219.64733846842407,-219.64733846842407,-219.64733846842407,-66.49693296344857,-66.49693296344857,-66.49693296344857,0.0,0.0,0.0,4809.4192328592135
2013-04-11,5094.154899579905,3648.3766370124113,5800.44259149847,5094.154899579905,5094.154899579905,-390.57329550910725,-390.57329550910725,-390.57329550910725,-309.0893061479975,-309.0893061479975,-309.0893061479975,-81.48398936110975,-81.48398936110975,-81.48398936110975,0.0,0.0,0.0,4703.581604070798
2013-04-12,5092.746294868724,3897.0675730765743,6005.981632347141,5092.746294868724,5092.746294868724,-149.59964465516086,-149.59964465516086,-149.59964465516086,-54.528555136452376,-54.528555136452376,-54.528555136452376,-95.07108951870848,-95.07108951870848,-95.07108951870848,0.0,0.0,0.0,4943.146650213564
2013-04-13,5091.337690157545,4059.383765991628,6261.454799122362,5091.337690157545,5091.337690157545,43.70937973578802,43.70937973578802,43.70937973578802,150.70369944118028,150.70369944118028,150.70369944118028,-106.99431970539226,-106.99431970539226,-106.99431970539226,0.0,0.0,0.0,5135.047069893333
2013-04-15,5088.520480735184,4279.790047230859,6378.612642532007,5088.520480735184,5088.520480735184,263.01133023729557,263.01133023729557,263.01133023729557,387.92927057163394,387.92927057163394,387.92927057163394,-124.91794033433835,-124.91794033433835,-124.91794033433835,0.0,0.0,0.0,5351.531810972479
2013-04-16,5087.111876024004,3806.630071672361,5950.201628681535,5087.111876024004,5087.111876024004,-233.20291991550764,-233.20291991550764,-233.20291991550764,-102.6691757408109,-102.6691757408109,-102.6691757408109,-130.5337441746967,-130.5337441746967,-130.5337441746967,0.0,0.0,0.0,4853.908956108497
2013-04-17,5085.703271312824,3642.2322017069223,5748.230281480937,5085.703271312824,5085.703271312824,-353.37532426806257,-353.37532426806257,-353.37532426806257,-219.64733846866304,-219.64733846866304,-219.64733846866304,-133.72798579939956,-133.72798579939956,-133.72798579939956,0.0,0.0,0.0,4732.3279470447615
2013-04-18,5084.294666601644,3497.655993328042,5642.638048529566,5084.294666601644,5084.294666601644,-443.50335488178075,-443.50335488178075,-443.50335488178075,-309.089306147685,-309.089306147685,-309.089306147685,-134.4140487340958,-134.4140487340958,-134.4140487340958,0.0,0.0,0.0,4640.791311719863
2013-04-19,5082.886061890464,3799.747564327005,5960.248983589168,5082.886061890464,5082.886061890464,-187.08381887712443,-187.08381887712443,-187.08381887712443,-54.528555137695214,-54.528555137695214,-54.528555137695214,-132.55526373942922,-132.55526373942922,-132.55526373942922,0.0,0.0,0.0,4895.80224301334
2013-04-20,5081.477457179283,3980.7066841128117,6153.400346504375,5081.477457179283,5081.477457179283,22.536112605986528,22.536112605986528,22.536112605986528,150.7036994418931,150.7036994418931,150.7036994418931,-128.16758683590655,-128.16758683590655,-128.16758683590655,0.0,0.0,0.0,5104.013569785269
2013-04-22,5078.660247756923,4292.764768865468,6361.527561746185,5078.660247756923,5078.660247756923,275.78930737261743,275.78930737261743,275.78930737261743,387.9292705719491,387.9292705719491,387.9292705719491,-112.13996319933166,-112.13996319933166,-112.13996319933166,0.0,0.0,0.0,5354.44955512954
2013-04-23,5077.251643045742,3831.4606796311423,5943.3744377823605,5077.251643045742,5077.251643045742,-203.47075464245216,-203.47075464245216,-203.47075464245216,-102.66917574126126,-102.66917574126126,-102.66917574126126,-100.8015789011909,-100.8015789011909,-100.8015789011909,0.0,0.0,0.0,4873.780888403289
